STATION,NAME,BEGIN_LAT,BEGIN_LON,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Zip
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-16,0.0,0.0,0.0,0.0,46.0,21.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-16,0.0,0.0,0.0,0.0,47.0,24.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-16,4.25,0.0,0.0,0.0,49.0,26.0,220.0,230.0,10.1,14.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-17,8.72,0.0,0.0,0.0,56.0,28.0,210.0,190.0,21.9,27.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-17,0.0,0.0,0.0,0.0,48.0,25.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-17,0.0,0.0,0.0,0.0,56.0,25.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-17,0.0,0.0,0.0,0.0,56.0,29.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-17,12.75,0.0,0.0,0.0,57.0,30.0,210.0,220.0,23.9,30.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-18,9.17,0.08,0.0,0.0,52.0,32.0,230.0,230.0,23.9,36.9,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-18,0.0,0.01,0.0,0.0,56.0,30.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-18,0.0,0.9,0.0,0.0,55.0,36.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-18,0.0,0.08,0.0,0.0,51.0,33.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-18,13.65,0.06,0.0,0.0,53.0,35.0,230.0,230.0,28.0,36.9,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-19,0.45,0.0,0.0,0.0,57.0,27.0,50.0,60.0,6.9,8.9,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-19,0.0,0.0,0.0,0.0,52.0,25.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-19,0.0,0.0,0.0,0.0,55.0,24.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-19,0.0,0.0,0.0,0.0,57.0,26.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-19,2.01,0.0,0.0,0.0,58.0,30.0,360.0,30.0,6.0,8.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-20,3.8,0.0,0.0,0.0,58.0,27.0,310.0,300.0,13.0,16.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-20,0.0,0.0,0.0,0.0,58.0,28.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-20,0.0,0.0,0.0,0.0,59.0,27.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-20,0.0,0.0,0.0,0.0,58.0,28.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-20,4.7,0.0,0.0,0.0,60.0,32.0,270.0,260.0,14.1,17.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-21,8.72,0.0,0.0,0.0,54.0,33.0,280.0,290.0,25.1,33.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-21,0.0,0.0,0.0,0.0,60.0,31.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-21,0.0,0.0,0.0,0.0,58.0,29.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-21,0.0,0.0,0.0,0.0,54.0,32.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-21,10.51,0.0,0.0,0.0,57.0,32.0,260.0,260.0,23.9,30.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-22,2.91,0.0,0.0,0.0,40.0,29.0,30.0,30.0,8.9,13.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-22,0.0,0.0,0.0,0.0,56.0,37.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-22,0.0,0.0,0.0,0.0,56.0,23.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-22,0.0,0.0,0.0,0.0,38.0,26.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-22,4.7,0.0,0.0,0.0,41.0,31.0,20.0,10.0,13.0,15.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-23,3.8,0.11,0.0,0.0,38.0,32.0,50.0,30.0,8.9,13.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-23,0.0,0.0,0.0,0.0,41.0,30.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-23,0.0,0.0,0.0,0.0,39.0,31.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-23,0.0,0.23,2.1,2.0,36.0,31.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-23,5.82,0.12,1.0,0.0,39.0,33.0,20.0,20.0,12.1,14.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-24,6.93,0.0,0.0,0.0,44.0,27.0,300.0,300.0,17.0,21.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-24,0.0,0.02,0.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-24,0.0,0.35,0.0,3.0,40.0,24.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-24,0.0,0.0,0.0,0.0,44.0,25.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-24,8.05,0.0,0.0,1.2,46.0,26.0,280.0,260.0,17.0,19.9,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-25,4.92,0.11,0.0,0.0,44.0,36.0,320.0,330.0,16.1,19.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-25,0.0,0.0,0.0,0.0,46.0,26.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-25,0.0,0.0,0.0,0.0,44.0,31.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-25,0.0,0.08,0.0,0.0,43.0,36.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-25,6.93,0.08,0.0,0.0,45.0,36.0,350.0,340.0,19.9,23.9,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-26,7.16,0.01,0.0,0.0,37.0,25.0,320.0,330.0,21.0,27.1,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-26,0.0,0.2,0.0,0.0,45.0,25.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-26,0.0,0.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-26,0.0,0.0,0.0,0.0,37.0,23.0,0.0,0.0,0.0,0.0,40229
